Token: const			Class: 2			Value: null
Token: a			Class: 16			Value: a
Token: =			Class: 22			Value: null
Token: 36			Class: 17			Value: 100100
Token: ;			Class: 31			Value: null
Token: var			Class: 8			Value: null
Token: c			Class: 16			Value: c
Token: ,			Class: 30			Value: null
Token: d			Class: 16			Value: d
Token: ;			Class: 31			Value: null
Token: procedure			Class: 6			Value: null
Token: p			Class: 16			Value: p
Token: ;			Class: 31			Value: null
Token: begin			Class: 0			Value: null
Token: var			Class: 8			Value: null
Token: g			Class: 16			Value: g
Token: ;			Class: 31			Value: null
Token: g			Class: 16			Value: g
Token: :=			Class: 33			Value: null
Token: 123.456789			Class: 17			Value: 1111011.0111010011
Token: ;			Class: 31			Value: null
Token: write			Class: 11			Value: null
Token: (			Class: 28			Value: null
Token: g			Class: 16			Value: g
Token: )			Class: 29			Value: null
Token: ;			Class: 31			Value: null
Token: end			Class: 3			Value: null
Token: ;			Class: 31			Value: null
Token: begin			Class: 0			Value: null
Token: read			Class: 10			Value: null
Token: (			Class: 28			Value: null
Token: c			Class: 16			Value: c
Token: ,			Class: 30			Value: null
Token: d			Class: 16			Value: d
Token: )			Class: 29			Value: null
Token: ;			Class: 31			Value: null
Token: if			Class: 4			Value: null
Token: c			Class: 16			Value: c
Token: <=			Class: 25			Value: null
Token: d			Class: 16			Value: d
Token: then			Class: 7			Value: null
Token: c			Class: 16			Value: c
Token: :=			Class: 33			Value: null
Token: a			Class: 16			Value: a
Token: ;			Class: 31			Value: null
Token: write			Class: 11			Value: null
Token: (			Class: 28			Value: null
Token: c			Class: 16			Value: c
Token: ,			Class: 30			Value: null
Token: d			Class: 16			Value: d
Token: )			Class: 29			Value: null
Token: ;			Class: 31			Value: null
Token: call			Class: 1			Value: null
Token: p			Class: 16			Value: p
Token: ;			Class: 31			Value: null
Token: end			Class: 3			Value: null
